Title;RG30
Description;Dataset proposed in the paper Vanhoucke, M., Coelho, J., and Batselier, J. (2016). An overview of project data for integrated project management and control. Journal of Modern Project Management, 3(2):6–21.
Number;1800
Format;rcp
ID;Ref1;Ref2;Ref3;LB value;LB ref;LB time;UB value;UB ref;UB time;OPT value;OPT ref;OPT time;CPM;Sum PT;# Act;CNC;OS;SP/I2;AD/I3;LA/I4;I5;TF/I6;# RR;RF/RR;RU/RR;RS/RR;RC/RR;# NR;RF/NR;RU/NR;RS/NR;RC/NR;# Modes
1;Set 1\Pat1.rcp;0;0;61;4;3600010;62;3;660;0;0;0;20;164;30;0,933;0,113;0,069;0,444;0,080;0,938;0,593;4;0,750;3,000;0,036;0,400;0;0,000;0,000;0,000;0,000;1,000
2;Set 1\Pat2.rcp;0;0;73;4;3600020;74;3;70;0;0;0;27;176;30;1,900;0,207;0,069;0,167;0,065;0,371;0,278;4;0,750;3,000;0,059;0,400;0;0,000;0,000;0,000;0,000;1,000
3;Set 1\Pat3.rcp;0;0;55;1;473960;55;1;473960;55;1;473960;20;151;30;1,133;0,131;0,069;0,333;0,052;0,526;0,463;4;0,750;3,000;0,066;0,400;0;0,000;0,000;0,000;0,000;1,000
4;Set 1\Pat4.rcp;0;0;73;6;53766220;73;1;3600080;0;0;0;30;160;30;3,133;0,439;0,069;0,556;0,551;0,956;0,000;4;0,750;3,000;0,060;0,400;0;0,000;0,000;0,000;0,000;1,000
5;Set 1\Pat5.rcp;0;0;71;1;10490;71;1;10490;71;1;10490;24;180;30;2,133;0,191;0,069;0,333;0,150;0,625;0,352;4;0,750;3,000;0,036;0,400;0;0,000;0,000;0,000;0,000;1,000
6;Set 1\Pat6.rcp;0;0;54;4;3600020;55;3;6000;0;0;0;17;154;30;0,933;0,106;0,069;0,500;0,066;0,813;0,611;4;0,750;3,000;0,057;0,400;0;0,000;0,000;0,000;0,000;1,000
7;Set 1\Pat7.rcp;0;0;62;6;72000000;63;3;690;0;0;0;18;170;30;0,933;0,110;0,069;0,500;0,044;0,600;0,630;4;0,750;3,000;0,059;0,400;0;0,000;0,000;0,000;0,000;1,000
8;Set 1\Pat8.rcp;0;0;56;4;3600020;61;3;70;0;0;0;26;159;30;0,833;0,108;0,069;0,444;0,043;0,538;0,519;4;0,750;3,000;0,030;0,400;0;0,000;0,000;0,000;0,000;1,000
9;Set 1\Pat9.rcp;0;0;76;1;11790;76;1;11790;76;1;11790;28;172;30;2,300;0,230;0,069;0,333;0,116;0,309;0,130;4;0,750;3,000;0,050;0,400;0;0,000;0,000;0,000;0,000;1,000
10;Set 1\Pat10.rcp;0;0;65;1;2502530;65;1;2502530;65;1;2502530;22;170;30;1,800;0,179;0,069;0,333;0,119;0,590;0,333;4;0,750;3,000;0,050;0,400;0;0,000;0,000;0,000;0,000;1,000
11;Set 1\Pat11.rcp;0;0;63;4;2538970;63;1;3600430;63;4;2538970;20;172;30;1,633;0,166;0,069;0,222;0,060;0,333;0,426;4;0,750;3,000;0,065;0,400;0;0,000;0,000;0,000;0,000;1,000
12;Set 1\Pat12.rcp;0;0;72;4;3600010;72;3;650;0;0;0;20;179;30;1,067;0,122;0,069;0,389;0,062;0,667;0,500;4;0,750;3,000;0,073;0,400;0;0,000;0,000;0,000;0,000;1,000
13;Set 1\Pat13.rcp;0;0;70;1;236160;70;1;236160;70;1;236160;28;159;30;5,667;0,446;0,069;0,500;0,742;0,944;0,019;4;0,750;3,000;0,040;0,400;0;0,000;0,000;0,000;0,000;1,000
14;Set 1\Pat14.rcp;0;0;62;6;72000000;62;3;6000;0;0;0;19;173;30;0,633;0,090;0,069;0,500;0,037;0,875;0,667;4;0,750;3,000;0,050;0,400;0;0,000;0,000;0,000;0,000;1,000
15;Set 1\Pat15.rcp;0;0;52;4;3600020;53;1;3600060;0;0;0;17;137;30;1,400;0,143;0,069;0,389;0,103;0,714;0,537;4;0,750;3,000;0,060;0,400;0;0,000;0,000;0,000;0,000;1,000
16;Set 1\Pat16.rcp;0;0;57;4;3600020;60;6;7000;0;0;0;24;154;30;0,667;0,115;0,069;0,278;0,019;0,600;0,481;4;0,750;3,000;0,059;0,400;0;0,000;0,000;0,000;0,000;1,000
17;Set 1\Pat17.rcp;0;0;61;4;3600010;61;3;6000;0;0;0;20;147;30;2,000;0,200;0,069;0,278;0,080;0,372;0,241;4;0,750;3,000;0,081;0,400;0;0,000;0,000;0,000;0,000;1,000
18;Set 1\Pat18.rcp;0;0;60;1;410;60;1;410;60;1;410;24;158;30;1,367;0,140;0,069;0,444;0,082;0,680;0,500;4;0,750;3,000;0,068;0,400;0;0,000;0,000;0,000;0,000;1,000
19;Set 1\Pat19.rcp;0;0;64;4;3600020;66;1;3600020;0;0;0;17;164;30;1,067;0,129;0,069;0,278;0,043;0,471;0,481;4;0,750;3,000;0,049;0,400;0;0,000;0,000;0,000;0,000;1,000
20;Set 1\Pat20.rcp;0;0;58;1;726470;58;1;726470;58;1;726470;22;152;30;1,300;0,145;0,069;0,222;0,075;0,565;0,241;4;0,750;3,000;0,075;0,400;0;0,000;0,000;0,000;0,000;1,000
21;Set 1\Pat21.rcp;0;0;61;4;3600010;64;3;660;0;0;0;21;163;30;1,833;0,163;0,069;0,389;0,134;0,595;0,370;4;0,750;3,000;0,050;0,400;0;0,000;0,000;0,000;0,000;1,000
22;Set 1\Pat22.rcp;0;0;68;6;72000000;71;3;80;0;0;0;24;181;30;2,367;0,193;0,069;0,500;0,199;0,771;0,111;4;0,750;3,000;0,036;0,400;0;0,000;0,000;0,000;0,000;1,000
23;Set 1\Pat23.rcp;0;0;57;6;72000360;60;6;680;0;0;0;16;156;30;1,100;0,120;0,069;0,500;0,072;0,833;0,500;4;0,750;3,000;0,058;0,400;0;0,000;0,000;0,000;0,000;1,000
24;Set 1\Pat24.rcp;0;0;57;6;72000340;59;3;6000;0;0;0;21;168;30;0,667;0,097;0,069;0,500;0,020;0,571;0,667;4;0,750;3,000;0,051;0,400;0;0,000;0,000;0,000;0,000;1,000
25;Set 1\Pat25.rcp;0;0;60;1;2580;60;1;2580;60;1;2580;27;136;30;3,033;0,359;0,069;0,333;0,354;0,805;0,037;4;0,750;3,000;0,038;0,400;0;0,000;0,000;0,000;0,000;1,000
