Title;DC1
Description;Dataset proposed in the paper Vanhoucke, M., Coelho, J., and Batselier, J. (2016). An overview of project data for integrated project management and control. Journal of Modern Project Management, 3(2):6–21.
Number;1800
Format;rcp
ID;Ref1;Ref2;Ref3;LB value;LB ref;LB time;UB value;UB ref;UB time;OPT value;OPT ref;OPT time;CPM;Sum PT;# Act;CNC;OS;SP/I2;AD/I3;LA/I4;I5;TF/I6;# RR;RF/RR;RU/RR;RS/RR;RC/RR;# NR;RF/NR;RU/NR;RS/NR;RC/NR;# Modes
1;mv1.rcp;0;0;24;CPM;0;24;1;0;24;1;0;24;52;10;0,700;0,356;0,333;0,444;0,000;0,000;0,556;4;0,250;1,000;0,788;0,644;0;0,000;0,000;0,000;0,000;1,000
2;mv2.rcp;0;0;18;1;0;18;1;0;18;1;0;16;45;10;0,700;0,378;0,333;0,222;0,000;1,000;0,389;3;0,300;0,900;0,000;0,630;0;0,000;0,000;0,000;0,000;1,000
3;mv3.rcp;0;0;18;CPM;0;18;1;0;18;1;0;18;45;10;0,800;0,356;0,222;0,143;0,067;0,500;0,214;3;0,300;0,900;0,583;0,543;0;0,000;0,000;0,000;0,000;1,000
4;mv4.rcp;0;0;28;1;20;28;1;20;28;1;20;22;45;10;0,800;0,333;0,222;0,143;0,067;0,500;0,000;3;0,267;0,800;0,667;0,615;0;0,000;0,000;0,000;0,000;1,000
5;mv5.rcp;0;0;26;CPM;0;26;1;0;26;1;0;26;51;10;0,900;0,356;0,333;0,667;0,200;1,000;0,667;3;0,267;0,800;0,333;0,681;0;0,000;0,000;0,000;0,000;1,000
6;mv6.rcp;0;0;19;1;10;19;1;10;19;1;10;18;45;10;0,800;0,356;0,222;0,286;0,111;1,000;0,214;2;0,300;0,600;0,000;0,519;0;0,000;0,000;0,000;0,000;1,000
7;mv7.rcp;0;0;21;CPM;0;21;1;0;21;1;0;21;43;10;0,800;0,333;0,333;0,667;0,067;0,750;0,556;3;0,300;0,900;0,333;0,800;0;0,000;0,000;0,000;0,000;1,000
8;mv8.rcp;0;0;19;1;0;19;1;0;19;1;0;18;53;10;0,800;0,333;0,222;0,143;0,067;0,500;0,071;2;0,300;0,600;0,583;0,717;0;0,000;0,000;0,000;0,000;1,000
9;mv9.rcp;0;0;26;1;0;26;1;0;26;1;0;23;46;10;0,800;0,467;0,444;0,250;0,000;1,000;0,300;3;0,300;0,900;0,667;0,678;0;0,000;0,000;0,000;0,000;1,000
10;mv10.rcp;0;0;44;1;20;44;1;20;44;1;20;29;79;10;0,800;0,356;0,222;0,286;0,000;0,000;0,143;2;0,400;0,800;0,500;0,728;0;0,000;0,000;0,000;0,000;1,000
11;mv11.rcp;0;0;21;1;0;21;1;0;21;1;0;17;45;10;1,000;0,356;0,222;0,286;0,111;0,500;0,286;3;0,333;1,000;0,424;0,516;0;0,000;0,000;0,000;0,000;1,000
12;mv12.rcp;0;0;26;1;20;26;1;20;26;1;20;19;49;10;0,800;0,356;0,222;0,143;0,067;0,500;0,143;2;0,400;0,800;0,100;0,812;0;0,000;0,000;0,000;0,000;1,000
13;mv13.rcp;0;0;32;1;0;32;1;0;32;1;0;25;68;10;0,900;0,356;0,222;0,143;0,000;0,000;0,214;2;0,300;0,600;0,625;0,571;0;0,000;0,000;0,000;0,000;1,000
14;mv14.rcp;0;0;26;CPM;0;26;1;0;26;1;0;26;51;10;0,700;0,356;0,333;0,667;0,067;1,000;0,556;2;0,400;0,800;0,125;0,529;0;0,000;0,000;0,000;0,000;1,000
15;mv15.rcp;0;0;17;CPM;0;17;1;10;17;1;10;17;42;10;0,900;0,356;0,333;0,667;0,200;1,000;0,667;2;0,300;0,600;0,650;0,796;0;0,000;0,000;0,000;0,000;1,000
16;mv16.rcp;0;0;20;1;0;20;1;0;20;1;0;14;47;10;0,900;0,356;0,333;0,667;0,200;1,000;0,667;3;0,300;0,900;0,225;0,638;0;0,000;0,000;0,000;0,000;1,000
17;mv17.rcp;0;0;22;1;0;22;1;0;22;1;0;21;53;10;0,800;0,333;0,222;0,286;0,111;1,000;0,071;3;0,300;0,900;0,574;0,527;0;0,000;0,000;0,000;0,000;1,000
18;mv18.rcp;0;0;23;1;0;23;1;0;23;1;0;21;44;10;0,800;0,333;0,222;0,143;0,067;0,500;0,071;4;0,250;1,000;0,700;0,644;0;0,000;0,000;0,000;0,000;1,000
19;mv19.rcp;0;0;25;1;0;25;1;0;25;1;0;20;61;10;0,700;0,356;0,333;0,667;0,067;1,000;0,556;3;0,300;0,900;0,733;0,610;0;0,000;0,000;0,000;0,000;1,000
20;mv20.rcp;0;0;21;CPM;0;21;1;0;21;1;0;21;52;10;0,800;0,356;0,333;0,444;0,071;0,750;0,611;4;0,250;1,000;1,000;0,672;0;0,000;0,000;0,000;0,000;1,000
21;mv21.rcp;0;0;19;CPM;0;19;1;0;19;1;0;19;45;10;1,000;0,356;0,222;0,286;0,111;0,500;0,286;4;0,250;1,000;0,667;0,628;0;0,000;0,000;0,000;0,000;1,000
22;mv22.rcp;0;0;18;CPM;0;18;1;0;18;1;0;18;42;10;0,700;0,356;0,333;0,444;0,000;0,000;0,556;2;0,400;0,800;0,750;0,523;0;0,000;0,000;0,000;0,000;1,000
23;mv23.rcp;0;0;25;1;0;25;1;0;25;1;0;22;64;10;0,900;0,356;0,222;0,143;0,000;0,000;0,071;3;0,333;1,000;0,200;0,660;0;0,000;0,000;0,000;0,000;1,000
24;mv24.rcp;0;0;17;1;0;17;1;0;17;1;0;16;53;10;0,900;0,356;0,222;0,286;0,167;1,000;0,286;2;0,450;0,900;0,391;0,444;0;0,000;0,000;0,000;0,000;1,000
25;mv25.rcp;0;0;22;1;0;22;1;0;22;1;0;19;45;10;0,800;0,356;0,333;0,444;0,071;0,750;0,611;3;0,333;1,000;0,683;0,518;0;0,000;0,000;0,000;0,000;1,000
26;mv26.rcp;0;0;28;CPM;0;28;1;0;28;1;0;28;66;10;0,900;0,356;0,333;0,667;0,133;0,667;0,667;2;0,400;0,800;0,778;0,462;0;0,000;0,000;0,000;0,000;1,000
27;mv27.rcp;0;0;29;1;0;29;1;0;29;1;0;17;53;10;0,800;0,356;0,333;0,444;0,071;0,750;0,611;4;0,250;1,000;0,625;0,676;0;0,000;0,000;0,000;0,000;1,000
28;mv28.rcp;0;0;18;1;0;18;1;0;18;1;0;16;48;10;0,800;0,356;0,333;0,444;0,071;0,750;0,611;2;0,400;0,800;0,250;0,500;0;0,000;0,000;0,000;0,000;1,000
29;mv29.rcp;0;0;28;1;0;28;1;0;28;1;0;26;65;10;0,800;0,356;0,222;0,143;0,067;0,500;0,214;2;0,400;0,800;0,583;0,446;0;0,000;0,000;0,000;0,000;1,000
30;mv30.rcp;0;0;18;1;0;18;1;0;18;1;0;14;45;10;0,800;0,333;0,222;0,143;0,067;0,500;0,000;3;0,333;1,000;0,607;0,486;0;0,000;0,000;0,000;0,000;1,000
31;mv31.rcp;0;0;45;1;0;45;1;0;45;1;0;28;60;10;0,800;0,356;0,333;0,667;0,067;0,750;0,611;3;0,667;2,000;0,000;0,634;0;0,000;0,000;0,000;0,000;1,000
32;mv32.rcp;0;0;46;1;0;46;1;0;46;1;0;23;57;10;0,800;0,356;0,333;0,444;0,067;1,000;0,500;4;0,500;2,000;0,046;0,703;0;0,000;0,000;0,000;0,000;1,000
33;mv33.rcp;0;0;40;1;0;40;1;0;40;1;0;24;58;10;0,800;0,333;0,222;0,143;0,067;0,500;0,000;4;0,500;2,000;0,278;0,602;0;0,000;0,000;0,000;0,000;1,000
34;mv34.rcp;0;0;28;1;0;28;1;0;28;1;0;22;43;10;0,800;0,356;0,333;0,444;0,071;0,750;0,611;4;0,500;2,000;0,281;0,580;0;0,000;0,000;0,000;0,000;1,000
